Timestamp,Elapsed_min,Ch1_sccm,Ch2_sccm,Ch3_sccm,Ch4_sccm
2026-07-21T15:18:14.773374,0.0065,3.800,6.800,-0.800,-2.500
2026-07-21T15:18:15.957441,0.0262,3.600,6.800,-0.900,-2.500
2026-07-21T15:18:17.141509,0.0460,3.700,6.800,-0.800,-2.400
2026-07-21T15:18:18.325577,0.0657,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:19.509645,0.0854,3.700,6.800,-0.900,-2.400
2026-07-21T15:18:20.693712,0.1052,3.600,6.800,-0.800,-2.600
2026-07-21T15:18:21.877780,0.1249,3.600,6.800,-0.900,-2.500
2026-07-21T15:18:23.060848,0.1446,3.600,6.800,-0.900,-2.500
2026-07-21T15:18:24.245915,0.1644,3.700,6.800,-0.800,-2.500
2026-07-21T15:18:25.429983,0.1841,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:26.614051,0.2038,3.600,6.800,-0.900,-2.600
2026-07-21T15:18:27.798119,0.2236,3.700,6.800,-0.800,-2.400
2026-07-21T15:18:28.982186,0.2433,3.600,6.800,-0.800,-2.600
2026-07-21T15:18:30.166254,0.2630,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:31.350322,0.2828,3.600,6.800,-0.900,-2.400
2026-07-21T15:18:32.537390,0.3026,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:33.716457,0.3222,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:34.900525,0.3419,3.600,6.800,-0.900,-2.500
2026-07-21T15:18:36.100593,0.3619,3.700,6.800,-0.800,-2.500
2026-07-21T15:18:37.283661,0.3817,3.700,6.800,-0.800,-2.400
2026-07-21T15:18:38.468729,0.4014,3.700,6.800,-0.700,-2.500
2026-07-21T15:18:39.651797,0.4211,3.600,6.800,-0.800,-2.600
2026-07-21T15:18:40.835864,0.4409,3.600,6.800,-0.800,-2.600
2026-07-21T15:18:42.018932,0.4606,3.600,6.800,-0.900,-2.500
2026-07-21T15:18:43.204000,0.4803,3.600,6.700,-0.900,-2.400
2026-07-21T15:18:44.404068,0.5003,3.700,6.800,-0.800,-2.500
2026-07-21T15:18:45.587136,0.5200,3.600,6.800,-0.800,-2.400
2026-07-21T15:18:46.771204,0.5398,3.700,6.800,-0.900,-2.500
2026-07-21T15:18:47.955272,0.5595,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:49.139339,0.5792,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:50.323407,0.5990,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:51.506475,0.6187,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:52.690542,0.6384,3.600,6.800,-0.800,-2.500
2026-07-21T15:18:53.875610,0.6582,3.600,6.700,-0.800,-2.500
2026-07-21T15:18:55.058678,0.6779,3.600,6.800,-0.900,-2.500
2026-07-21T15:18:56.243746,0.6977,3.700,6.800,-0.800,-2.500
2026-07-21T15:18:57.426813,0.7174,3.700,6.800,-0.800,-2.500
2026-07-21T15:18:58.610881,0.7371,3.500,6.800,-0.900,-2.500
2026-07-21T15:18:59.795949,0.7569,3.700,6.800,-0.900,-2.500
